Rank,NOC,Gold,Silver,Bronze,Total,Year,is_host,total_events,total_lag1,gold_lag1,total_lag2,total_rolling3_mean,total_change,participation_count,gold_ratio
17,Austria,0,2,2,4,1912,0,102,1.0,0.0,3.0,3.3333333333333335,3.0,5,0.0
20,Austria,0,3,1,4,1924,0,126,4.0,0.0,1.0,2.6666666666666665,0.0,6,0.0
18,Austria,2,0,1,3,1928,0,109,4.0,0.0,4.0,3.0,-1.0,7,0.6666666666666666
18,Austria,1,1,3,5,1932,0,117,3.0,2.0,4.0,3.6666666666666665,2.0,8,0.2
10,Austria,5,7,5,17,1936,0,129,5.0,1.0,3.0,4.0,12.0,9,0.29411764705882354
21,Austria,1,0,3,4,1948,0,136,17.0,5.0,5.0,8.333333333333334,-13.0,10,0.25
32,Austria,0,1,1,2,1952,0,149,4.0,1.0,17.0,8.666666666666666,-2.0,11,0.0
34,Austria,0,0,2,2,1956,0,151,2.0,0.0,4.0,7.666666666666667,0.0,12,0.0
18,Austria,1,1,0,2,1960,0,150,2.0,0.0,2.0,2.6666666666666665,0.0,13,0.5
32,Austria,0,2,2,4,1968,0,172,2.0,1.0,2.0,2.0,2.0,14,0.0
31,Austria,0,1,2,3,1972,0,195,4.0,0.0,2.0,2.6666666666666665,-1.0,15,0.0
37,Austria,0,0,1,1,1976,0,198,3.0,0.0,4.0,3.0,-2.0,16,0.0
21,Austria,1,2,1,4,1980,0,203,1.0,0.0,3.0,2.6666666666666665,3.0,17,0.25
22,Austria,1,1,1,3,1984,0,221,4.0,1.0,1.0,2.6666666666666665,-1.0,18,0.3333333333333333
29,Austria,1,0,0,1,1988,0,237,3.0,1.0,4.0,2.6666666666666665,-2.0,19,1.0
41,Austria,0,2,0,2,1992,0,257,1.0,1.0,3.0,2.6666666666666665,1.0,20,0.0
57,Austria,0,1,2,3,1996,0,271,2.0,0.0,1.0,2.0,1.0,21,0.0
32,Austria,2,1,0,3,2000,0,300,3.0,0.0,2.0,2.0,0.0,22,0.6666666666666666
27,Austria,2,4,1,7,2004,0,301,3.0,2.0,3.0,2.6666666666666665,4.0,23,0.2857142857142857
64,Austria,0,1,2,3,2008,0,302,7.0,2.0,3.0,4.333333333333333,-4.0,24,0.0
78,Austria,0,0,1,1,2016,0,306,3.0,0.0,7.0,4.333333333333333,-2.0,25,0.0
53,Austria,1,1,5,7,2020,0,339,1.0,0.0,3.0,3.6666666666666665,6.0,26,0.14285714285714285
36,Austria,2,0,3,5,2024,0,329,7.0,1.0,1.0,3.6666666666666665,-2.0,27,0.4
61,Azerbaijan,0,1,0,1,1996,0,271,0.0,0.0,0.0,0.0,1.0,1,0.0
34,Azerbaijan,2,0,1,3,2000,0,300,1.0,0.0,0.0,1.0,2.0,2,0.6666666666666666
50,Azerbaijan,1,0,4,5,2004,0,301,3.0,2.0,1.0,2.0,2.0,3,0.2
40,Azerbaijan,1,1,4,6,2008,0,302,5.0,1.0,3.0,3.0,1.0,4,0.16666666666666666
32,Azerbaijan,2,2,5,9,2012,0,302,6.0,1.0,5.0,4.666666666666667,3.0,5,0.2222222222222222
39,Azerbaijan,1,7,10,18,2016,0,306,9.0,2.0,6.0,6.666666666666667,9.0,6,0.05555555555555555
67,Azerbaijan,0,3,4,7,2020,0,339,18.0,1.0,9.0,11.0,-11.0,7,0.0
30,Azerbaijan,2,2,3,7,2024,0,329,7.0,0.0,18.0,11.333333333333334,0.0,8,0.2857142857142857
35,Bahamas,0,0,1,1,1956,0,151,0.0,0.0,0.0,0.0,1.0,1,0.0
24,Bahamas,1,0,0,1,1964,0,163,1.0,0.0,0.0,1.0,0.0,2,1.0
54,Bahamas,0,0,1,1,1992,0,257,1.0,1.0,1.0,1.0,0.0,3,0.0
61,Bahamas,0,1,0,1,1996,0,271,1.0,0.0,1.0,1.0,0.0,4,0.0
34,Bahamas,2,0,1,3,2000,0,300,1.0,0.0,1.0,1.0,2.0,5,0.6666666666666666
52,Bahamas,1,0,1,2,2004,0,301,3.0,2.0,1.0,1.6666666666666667,-1.0,6,0.5
68,Bahamas,0,1,1,2,2008,0,302,2.0,1.0,3.0,2.0,0.0,7,0.0
50,Bahamas,1,0,0,1,2012,0,302,2.0,0.0,2.0,2.3333333333333335,-1.0,8,1.0
51,Bahamas,1,0,1,2,2016,0,306,1.0,1.0,2.0,1.6666666666666667,1.0,9,0.5
42,Bahamas,2,0,0,2,2020,0,339,2.0,1.0,1.0,1.6666666666666667,0.0,10,1.0
50,Bahrain,1,0,0,1,2012,0,302,0.0,0.0,0.0,0.0,1.0,1,1.0
48,Bahrain,1,1,0,2,2016,0,306,1.0,1.0,0.0,1.0,1.0,2,0.5
77,Bahrain,0,1,0,1,2020,0,339,2.0,1.0,1.0,1.5,-1.0,3,0.0
33,Bahrain,2,1,1,4,2024,0,329,1.0,0.0,2.0,1.3333333333333333,3.0,4,0.5
71,Barbados,0,0,1,1,2000,0,300,0.0,0.0,0.0,0.0,1.0,1,0.0
37,Belarus,1,6,8,15,1996,0,271,0.0,0.0,0.0,0.0,15.0,1,0.06666666666666667
23,Belarus,3,3,11,17,2000,0,300,15.0,1.0,0.0,15.0,2.0,2,0.17647058823529413
26,Belarus,2,5,6,13,2004,0,301,17.0,3.0,15.0,16.0,-4.0,3,0.15384615384615385
24,Belarus,3,4,7,14,2008,0,302,13.0,2.0,17.0,15.0,1.0,4,0.21428571428571427
28,Belarus,2,5,3,10,2012,0,302,14.0,3.0,13.0,14.666666666666666,-4.0,5,0.2
40,Belarus,1,4,4,9,2016,0,306,10.0,2.0,14.0,12.333333333333334,-1.0,6,0.1111111111111111
45,Belarus,1,3,3,7,2020,0,339,9.0,1.0,10.0,11.0,-2.0,7,0.14285714285714285
5,Belgium,6,7,4,17,1900,0,97,0.0,0.0,0.0,0.0,17.0,1,0.35294117647058826
10,Belgium,1,5,2,8,1908,0,110,17.0,6.0,0.0,17.0,-9.0,2,0.125
13,Belgium,2,1,3,6,1912,0,102,8.0,1.0,17.0,12.5,-2.0,3,0.3333333333333333
5,Belgium,14,11,11,36,1920,1,156,6.0,2.0,8.0,10.333333333333334,30.0,4,0.3888888888888889
10,Belgium,3,7,3,13,1924,0,126,36.0,14.0,6.0,16.666666666666668,-23.0,5,0.23076923076923078
29,Belgium,0,1,2,3,1928,0,109,13.0,3.0,36.0,18.333333333333332,-10.0,6,0.0
26,Belgium,0,0,1,1,1932,0,117,3.0,0.0,13.0,17.333333333333332,-2.0,7,0.0
28,Belgium,0,0,3,3,1936,0,129,1.0,0.0,3.0,5.666666666666667,2.0,8,0.0
15,Belgium,2,2,3,7,1948,0,136,3.0,0.0,1.0,2.3333333333333335,4.0,9,0.2857142857142857
14,Belgium,2,2,0,4,1952,0,149,7.0,2.0,3.0,3.6666666666666665,-3.0,10,0.5
28,Belgium,0,2,0,2,1956,0,151,4.0,2.0,7.0,4.666666666666667,-2.0,11,0.0
26,Belgium,0,2,2,4,1960,0,150,2.0,0.0,4.0,4.333333333333333,2.0,12,0.0
20,Belgium,2,0,1,3,1964,0,163,4.0,0.0,2.0,3.3333333333333335,-1.0,13,0.6666666666666666
36,Belgium,0,1,1,2,1968,0,172,3.0,2.0,4.0,3.0,-1.0,14,0.0
29,Belgium,0,2,0,2,1972,0,195,2.0,0.0,3.0,3.0,0.0,15,0.0
28,Belgium,0,3,3,6,1976,0,198,2.0,0.0,2.0,2.3333333333333335,4.0,16,0.0
23,Belgium,1,0,0,1,1980,0,203,6.0,0.0,2.0,3.3333333333333335,-5.0,17,1.0
21,Belgium,1,1,2,4,1984,0,221,1.0,1.0,6.0,3.0,3.0,18,0.25
44,Belgium,0,0,2,2,1988,0,237,4.0,1.0,1.0,3.6666666666666665,-2.0,19,0.0
44,Belgium,0,1,2,3,1992,0,257,2.0,0.0,4.0,2.3333333333333335,1.0,20,0.0
31,Belgium,2,2,2,6,1996,0,271,3.0,0.0,2.0,3.0,3.0,21,0.3333333333333333
55,Belgium,0,2,3,5,2000,0,300,6.0,2.0,3.0,3.6666666666666665,-1.0,22,0.0
51,Belgium,1,0,2,3,2004,0,301,5.0,0.0,6.0,4.666666666666667,-2.0,23,0.3333333333333333
37,Belgium,2,0,0,2,2008,0,302,3.0,1.0,5.0,4.666666666666667,-1.0,24,1.0
64,Belgium,0,1,2,3,2012,0,302,2.0,2.0,3.0,3.3333333333333335,1.0,25,0.0
35,Belgium,2,2,2,6,2016,0,306,3.0,0.0,2.0,2.6666666666666665,3.0,26,0.3333333333333333
29,Belgium,3,1,3,7,2020,0,339,6.0,2.0,3.0,3.6666666666666665,1.0,27,0.42857142857142855
25,Belgium,3,1,6,10,2024,0,329,7.0,3.0,6.0,5.333333333333333,3.0,28,0.3
37,Bermuda,0,0,1,1,1976,0,198,0.0,0.0,0.0,0.0,1.0,1,0.0
63,Bermuda,1,0,0,1,2020,0,339,1.0,0.0,0.0,1.0,0.0,2,1.0
20,Bohemia,0,1,1,2,1900,0,97,0.0,0.0,0.0,0.0,2.0,1,0.0
17,Bohemia,0,0,2,2,1908,0,110,2.0,0.0,0.0,2.0,0.0,2,0.0
70,Botswana,0,1,0,1,2012,0,302,0.0,0.0,0.0,0.0,1.0,1,0.0
86,Botswana,0,0,1,1,2020,0,339,1.0,0.0,0.0,1.0,0.0,2,0.0
55,Botswana,1,1,0,2,2024,0,329,1.0,0.0,1.0,1.0,1.0,3,0.5
15,Brazil,1,1,1,3,1920,0,156,0.0,0.0,0.0,0.0,3.0,1,0.3333333333333333
34,Brazil,0,0,1,1,1948,0,136,3.0,1.0,0.0,3.0,-2.0,2,0.0
24,Brazil,1,0,2,3,1952,0,149,1.0,0.0,3.0,2.0,2.0,3,0.3333333333333333
24,Brazil,1,0,0,1,1956,0,151,3.0,1.0,1.0,2.3333333333333335,-2.0,4,1.0
39,Brazil,0,0,2,2,1960,0,150,1.0,1.0,3.0,1.6666666666666667,1.0,5,0.0
35,Brazil,0,0,1,1,1964,0,163,2.0,0.0,1.0,2.0,-1.0,6,0.0
35,Brazil,0,1,2,3,1968,0,172,1.0,0.0,2.0,1.3333333333333333,2.0,7,0.0
41,Brazil,0,0,2,2,1972,0,195,3.0,0.0,1.0,2.0,-1.0,8,0.0
36,Brazil,0,0,2,2,1976,0,198,2.0,0.0,3.0,2.0,0.0,9,0.0
17,Brazil,2,0,2,4,1980,0,203,2.0,0.0,2.0,2.3333333333333335,2.0,10,0.5
19,Brazil,1,5,2,8,1984,0,221,4.0,2.0,2.0,2.6666666666666665,4.0,11,0.125
24,Brazil,1,2,3,6,1988,0,237,8.0,1.0,4.0,4.666666666666667,-2.0,12,0.16666666666666666
25,Brazil,2,1,0,3,1992,0,257,6.0,1.0,8.0,6.0,-3.0,13,0.6666666666666666
25,Brazil,3,3,9,15,1996,0,271,3.0,2.0,6.0,5.666666666666667,12.0,14,0.2
53,Brazil,0,6,6,12,2000,0,300,15.0,3.0,3.0,8.0,-3.0,15,0.0
16,Brazil,5,2,3,10,2004,0,301,12.0,0.0,15.0,10.0,-2.0,16,0.5
23,Brazil,3,4,10,17,2008,0,302,10.0,5.0,12.0,12.333333333333334,7.0,17,0.17647058823529413
22,Brazil,3,5,9,17,2012,0,302,17.0,3.0,10.0,13.0,0.0,18,0.17647058823529413
13,Brazil,7,6,6,19,2016,1,306,17.0,3.0,17.0,14.666666666666666,2.0,19,0.3684210526315789
12,Brazil,7,6,8,21,2020,0,339,19.0,7.0,17.0,17.666666666666668,2.0,20,0.3333333333333333
20,Brazil,3,7,10,20,2024,0,329,21.0,7.0,19.0,19.0,-1.0,21,0.15
39,British West Indies,0,0,2,2,1960,0,150,0.0,0.0,0.0,0.0,2.0,1,0.0
40,Bulgaria,0,0,1,1,1952,0,149,0.0,0.0,0.0,0.0,1.0,1,0.0
19,Bulgaria,1,3,1,5,1956,0,151,1.0,0.0,0.0,1.0,4.0,2,0.2
15,Bulgaria,1,3,3,7,1960,0,150,5.0,1.0,1.0,3.0,2.0,3,0.14285714285714285
11,Bulgaria,3,5,2,10,1964,0,163,7.0,1.0,5.0,4.333333333333333,3.0,4,0.3
18,Bulgaria,2,4,3,9,1968,0,172,10.0,3.0,7.0,7.333333333333333,-1.0,5,0.2222222222222222
9,Bulgaria,6,10,5,21,1972,0,195,9.0,2.0,10.0,8.666666666666666,12.0,6,0.2857142857142857
7,Bulgaria,6,9,7,22,1976,0,198,21.0,6.0,9.0,13.333333333333334,1.0,7,0.2727272727272727
3,Bulgaria,8,16,17,41,1980,0,203,22.0,6.0,21.0,17.333333333333332,19.0,8,0.1951219512195122
7,Bulgaria,10,12,13,35,1988,0,237,41.0,8.0,22.0,28.0,-6.0,9,0.2857142857142857
18,Bulgaria,3,7,6,16,1992,0,257,35.0,10.0,41.0,32.666666666666664,-19.0,10,0.1875
22,Bulgaria,3,7,5,15,1996,0,271,16.0,3.0,35.0,30.666666666666668,-1.0,11,0.2
16,Bulgaria,5,6,2,13,2000,0,300,15.0,3.0,16.0,22.0,-2.0,12,0.38461538461538464
33,Bulgaria,2,1,9,12,2004,0,301,13.0,5.0,15.0,14.666666666666666,-1.0,13,0.16666666666666666
42,Bulgaria,1,1,3,5,2008,0,302,12.0,2.0,13.0,13.333333333333334,-7.0,14,0.2
60,Bulgaria,0,2,1,3,2012,0,302,5.0,1.0,12.0,10.0,-2.0,15,0.0
66,Bulgaria,0,1,2,3,2016,0,306,3.0,0.0,5.0,6.666666666666667,0.0,16,0.0
30,Bulgaria,3,1,2,6,2020,0,339,3.0,0.0,3.0,3.6666666666666665,3.0,17,0.5
26,Bulgaria,3,1,3,7,2024,0,329,6.0,3.0,3.0,4.0,1.0,18,0.42857142857142855
86,Burkina Faso,0,0,1,1,2020,0,339,0.0,0.0,0.0,0.0,1.0,1,0.0
49,Burundi,1,0,0,1,1996,0,271,0.0,0.0,0.0,0.0,1.0,1,1.0
69,Burundi,0,1,0,1,2016,0,306,1.0,1.0,0.0,1.0,0.0,2,0.0
84,Cabo Verde,0,0,1,1,2024,0,329,0.0,0.0,0.0,0.0,1.0,1,0.0
39,Cameroon,0,1,0,1,1968,0,172,0.0,0.0,0.0,0.0,1.0,1,0.0
43,Cameroon,0,0,1,1,1984,0,221,1.0,0.0,0.0,1.0,0.0,2,0.0
50,Cameroon,1,0,0,1,2000,0,300,1.0,0.0,1.0,1.0,0.0,3,1.0
54,Cameroon,1,0,0,1,2004,0,301,1.0,1.0,1.0,1.0,0.0,4,1.0
53,Cameroon,1,0,0,1,2008,0,302,1.0,1.0,1.0,1.0,0.0,5,1.0
79,Cameroon,0,0,1,1,2012,0,302,1.0,1.0,1.0,1.0,0.0,6,0.0
13,Canada,1,0,1,2,1900,0,97,0.0,0.0,0.0,0.0,2.0,1,0.5
3,Canada,4,1,1,6,1904,0,95,2.0,1.0,0.0,2.0,4.0,2,0.6666666666666666
7,Canada,3,3,10,16,1908,0,110,6.0,4.0,2.0,4.0,10.0,3,0.1875
9,Canada,3,2,3,8,1912,0,102,16.0,3.0,6.0,8.0,-8.0,4,0.375
12,Canada,3,3,3,9,1920,0,156,8.0,3.0,16.0,10.0,1.0,5,0.3333333333333333
20,Canada,0,3,1,4,1924,0,126,9.0,3.0,8.0,11.0,-5.0,6,0.0
10,Canada,4,4,7,15,1928,0,109,4.0,0.0,9.0,7.0,11.0,7,0.26666666666666666
13,Canada,2,5,9,16,1932,0,117,15.0,4.0,4.0,9.333333333333334,1.0,8,0.125
17,Canada,1,3,5,9,1936,0,129,16.0,2.0,15.0,11.666666666666666,-7.0,9,0.1111111111111111
25,Canada,0,1,2,3,1948,0,136,9.0,1.0,16.0,13.333333333333334,-6.0,10,0.0
21,Canada,1,2,0,3,1952,0,149,3.0,0.0,9.0,9.333333333333334,0.0,11,0.3333333333333333
15,Canada,2,1,3,6,1956,0,151,3.0,1.0,3.0,5.0,3.0,12,0.3333333333333333
32,Canada,0,1,0,1,1960,0,150,6.0,2.0,3.0,4.0,-5.0,13,0.0
22,Canada,1,2,1,4,1964,0,163,1.0,0.0,6.0,3.3333333333333335,3.0,14,0.25
23,Canada,1,3,1,5,1968,0,172,4.0,1.0,1.0,3.6666666666666665,1.0,15,0.2
27,Canada,0,2,3,5,1972,0,195,5.0,1.0,4.0,3.3333333333333335,0.0,16,0.0
27,Canada,0,5,6,11,1976,1,198,5.0,0.0,5.0,4.666666666666667,6.0,17,0.0
6,Canada,10,18,16,44,1984,0,221,11.0,0.0,5.0,7.0,33.0,18,0.22727272727272727
19,Canada,3,2,5,10,1988,0,237,44.0,10.0,11.0,20.0,-34.0,19,0.3
11,Canada,7,4,7,18,1992,0,257,10.0,3.0,44.0,21.666666666666668,8.0,20,0.3888888888888889
21,Canada,3,11,8,22,1996,0,271,18.0,7.0,10.0,24.0,4.0,21,0.13636363636363635
24,Canada,3,3,8,14,2000,0,300,22.0,3.0,18.0,16.666666666666668,-8.0,22,0.21428571428571427
21,Canada,3,6,3,12,2004,0,301,14.0,3.0,22.0,18.0,-2.0,23,0.25
20,Canada,3,9,8,20,2008,0,302,12.0,3.0,14.0,16.0,8.0,24,0.15
27,Canada,2,6,10,18,2012,0,302,20.0,3.0,12.0,15.333333333333334,-2.0,25,0.1111111111111111
20,Canada,4,3,15,22,2016,0,306,18.0,2.0,20.0,16.666666666666668,4.0,26,0.18181818181818182
11,Canada,7,7,10,24,2020,0,339,22.0,4.0,18.0,20.0,2.0,27,0.2916666666666667
12,Canada,9,7,11,27,2024,0,329,24.0,7.0,22.0,21.333333333333332,3.0,28,0.3333333333333333
28,Ceylon,0,1,0,1,1948,0,136,0.0,0.0,0.0,0.0,1.0,1,0.0
30,Chile,0,1,0,1,1928,0,109,0.0,0.0,0.0,0.0,1.0,1,0.0
31,Chile,0,2,0,2,1952,0,149,1.0,0.0,0.0,1.0,1.0,2,0.0
27,Chile,0,2,2,4,1956,0,151,2.0,0.0,1.0,1.5,2.0,3,0.0
36,Chile,0,1,0,1,1988,0,237,4.0,0.0,2.0,2.3333333333333335,-3.0,4,0.0
71,Chile,0,0,1,1,2000,0,300,1.0,0.0,4.0,2.3333333333333335,0.0,5,0.0
39,Chile,2,0,1,3,2004,0,301,1.0,0.0,1.0,2.0,2.0,6,0.6666666666666666
72,Chile,0,1,0,1,2008,0,302,3.0,2.0,1.0,1.6666666666666667,-2.0,7,0.0
55,Chile,1,1,0,2,2024,0,329,1.0,0.0,3.0,1.6666666666666667,1.0,8,0.5
4,China,15,8,9,32,1984,0,221,0.0,0.0,0.0,0.0,32.0,1,0.46875
11,China,5,11,12,28,1988,0,237,32.0,15.0,0.0,32.0,-4.0,2,0.17857142857142858
4,China,16,22,16,54,1992,0,257,28.0,5.0,32.0,30.0,26.0,3,0.2962962962962963
4,China,16,22,12,50,1996,0,271,54.0,16.0,28.0,38.0,-4.0,4,0.32
3,China,28,16,14,58,2000,0,300,50.0,16.0,54.0,44.0,8.0,5,0.4827586206896552
2,China,32,17,14,63,2004,0,301,58.0,28.0,50.0,54.0,5.0,6,0.5079365079365079
1,China,48,22,30,100,2008,1,302,63.0,32.0,58.0,57.0,37.0,7,0.48
2,China,39,31,22,92,2012,0,302,100.0,48.0,63.0,73.66666666666667,-8.0,8,0.42391304347826086
3,China,26,18,26,70,2016,0,306,92.0,39.0,100.0,85.0,-22.0,9,0.37142857142857144
2,China,38,32,19,89,2020,0,339,70.0,26.0,92.0,87.33333333333333,19.0,10,0.42696629213483145
2,China,40,27,24,91,2024,0,329,89.0,38.0,70.0,83.66666666666667,2.0,11,0.43956043956043955
43,Chinese Taipei,0,0,1,1,1984,0,221,0.0,0.0,0.0,0.0,1.0,1,0.0
49,Chinese Taipei,0,1,0,1,1992,0,257,1.0,0.0,0.0,1.0,0.0,2,0.0
61,Chinese Taipei,0,1,0,1,1996,0,271,1.0,0.0,1.0,1.0,0.0,3,0.0
58,Chinese Taipei,0,1,4,5,2000,0,300,1.0,0.0,1.0,1.0,4.0,4,0.0
31,Chinese Taipei,2,2,1,5,2004,0,301,5.0,0.0,1.0,2.3333333333333335,0.0,5,0.4
