season,celebrity_name,results,exit_type,elimination_week,exit_week_inferred,last_active_week,n_rows,n_eliminated_flags,n_withdrew_flags,issues
9,Mark Dacascos,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
9,Melissa Joan Hart,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
9,Michael Irvin,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
9,Mya,2nd Place,unknown,,,10,10,0,0,
9,Natalie Coughlin,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
9,Tom DeLay,Withdrew,withdrew,,3.0,3,3,0,1,
10,Aiden Turner,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
10,Buzz Aldrin,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
10,Chad Ochocinco,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
10,Erin Andrews,3rd Place,unknown,,,10,10,0,0,
10,Evan Lysacek,2nd Place,unknown,,,10,10,0,0,
10,Jake Pavelka,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
10,Kate Gosselin,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
10,Nicole Scherzinger,1st Place,unknown,,,10,10,0,0,
10,Niecy Nash,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
10,Pamela Anderson,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
10,Shannen Doherty,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
11,Audrina Patridge,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
11,Brandy,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
11,Bristol Palin,3rd Place,unknown,,,10,10,0,0,
11,David Hasselhoff,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
11,Florence Henderson,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
11,Jennifer Grey,1st Place,unknown,,,10,10,0,0,
11,Kurt Warner,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
11,Kyle Massey,2nd Place,unknown,,,10,10,0,0,
11,Margaret Cho,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
11,Michael Bolton,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
11,Rick Fox,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
11,The Situation,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
12,Chelsea Kane,3rd Place,unknown,,,10,10,0,0,
12,Chris Jericho,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
12,Hines Ward,1st Place,unknown,,,10,10,0,0,
12,Kendra Wilkinson,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
12,Kirstie Alley,2nd Place,unknown,,,10,10,0,0,
12,Mike Catherwood,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
12,Petra Nemcova,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
12,Ralph Macchio,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
12,Romeo,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
12,Sugar Ray Leonard,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
12,Wendy Williams,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
13,Carson Kressley,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
13,Chaz Bono,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
13,Chynna Phillips,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
13,David Arquette,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
13,Elisabetta Canalis,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
13,Hope Solo,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
13,J.R. Martinez,1st Place,unknown,,,10,10,0,0,
13,Kristin Cavallari,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
13,Metta World Peace (Ron),Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
13,Nancy Grace,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
13,Ricki Lake,3rd Place,unknown,,,10,10,0,0,
13,Rob Kardashian,2nd Place,unknown,,,10,10,0,0,
14,Donald Driver,1st Place,unknown,,,10,10,0,0,
14,Gavin DeGraw,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
14,Gladys Knight,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
14,Jack Wagner,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
14,Jaleel White,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
14,Katherine Jenkins,2nd Place,unknown,,,10,10,0,0,
14,Maria Menounos,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
14,Martina Navratilova,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
14,Melissa Gilbert,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
14,Roshon Fegan,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
14,Sherri Sheperd,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
14,William Levy,3rd Place,unknown,,,10,10,0,0,
15,Apolo Anton Ohno,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
15,Bristol Palin,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
15,Drew Lachey,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
15,Emmitt Smith,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
15,Gilles Marini,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
15,Helio Castroneves,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
15,Joey Fatone,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
15,Kelly Monaco,3rd Place,unknown,,,10,10,0,0,
15,Kirstie Alley,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
15,Melissa Rycroft,1st Place,unknown,,,10,10,0,0,
15,Pamela Anderson,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
15,Sabrina Bryan,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
15,Shawn Johnson,2nd Place,unknown,,,10,10,0,0,
16,Alexandra Raisman,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
16,Andy Dick,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
16,D. L. Hughley,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
16,Dorothy Hamill,Withdrew,withdrew,,2.0,2,2,0,1,
16,Ingo Rademacher,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
16,Jacoby Jones,3rd Place,unknown,,,10,10,0,0,
16,Kellie Pickler,1st Place,unknown,,,10,10,0,0,
16,Lisa Vanderpump,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
16,Sean Lowe,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
16,Victor Ortiz,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
16,Wynonna Judd,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
16,Zendaya,2nd Place,unknown,,,10,10,0,0,
17,Amber Riley,1st Place,unknown,,,11,11,0,0,
17,Bill Engvall,Eliminated Week 11,eliminated,11.0,11.0,11,11,1,0,
17,Bill Nye,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
17,Brant Daugherty,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
17,Christina Milian,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
17,Corbin Bleu,2nd Place,unknown,,,11,11,0,0,
17,Elizabeth Berkley Lauren,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
17,Jack Osbourne,3rd Place,unknown,,,11,11,0,0,
17,Keyshawn Johnson,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
17,Leah Remini,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
17,"Nicole ""Snooki"" Polizzi",Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
17,Valerie Harper,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
18,Amy Purdy,2nd Place,unknown,,,10,10,0,0,
18,Billy Dee Williams,Withdrew,withdrew,,2.0,2,2,0,1,
18,Candace Cameron Bure,3rd Place,unknown,,,10,10,0,0,
18,Charlie White,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
18,Cody Simpson,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
18,Danica McKellar,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
18,Diana Nyad,Eliminated Week 2,eliminated,2.0,1.0,1,1,1,0,
18,Drew Carey,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
18,James Maslow,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
18,Meryl Davis,1st Place,unknown,,,10,10,0,0,
18,NeNe Leakes,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
18,Sean Avery,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
19,Alfonso Ribeiro,1st Place,unknown,,,11,11,0,0,
19,Antonio Sabato Jr.,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
19,Bethany Mota,Eliminated Week 11,eliminated,11.0,11.0,11,11,1,0,
19,Betsey Johnson,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
19,Janel Parrish,3rd Place,unknown,,,11,11,0,0,
19,Jonathan Bennett,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
19,Lea Thompson,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
19,Lolo Jones,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
19,Michael Waltrip,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
19,Randy Couture,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
19,Sadie Robertson,2nd Place,unknown,,,11,11,0,0,
19,Tavis Smiley,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
19,Tommy Chong,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
20,Charlotte McKinney,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
20,Chris Soules,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
20,Michael Sam,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
20,Nastia Liukin,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
20,Noah Galloway,3rd Place,unknown,,,10,10,0,0,
20,Patti LaBelle,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
20,Redfoo,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
20,Riker Lynch,2nd Place,unknown,,,10,10,0,0,
20,Robert Herjavec,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
20,Rumer Willis,1st Place,unknown,,,10,10,0,0,
20,Suzanne Somers,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
20,Willow Shields,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
21,Alek Skarlatos,3rd Place,unknown,,,11,11,0,0,
21,Alexa PenaVega,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
21,Andy Grammer,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
21,Bindi Irwin,1st Place,unknown,,,11,11,0,0,
21,Carlos PenaVega,Eliminated Week 11,eliminated,11.0,11.0,11,11,1,0,
21,Chaka Khan,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
21,Gary Busey,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
21,Hayes Grier,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
21,Kim Zolciak-Biermann,Withdrew,withdrew,,2.0,2,2,0,1,
21,Nick Carter,2nd Place,unknown,,,11,11,0,0,
21,Paula Deen,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
21,Tamar Braxton,Withdrew,withdrew,,9.0,9,9,0,1,
21,Victor Espinoza,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
22,Antonio Brown,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
22,Doug Flutie,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
22,Geraldo Rivera,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
22,Ginger Zee,3rd Place,unknown,,,10,10,0,0,
22,Jodie Sweetin,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
22,Kim Fields,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
22,Marla Maples,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
22,Mischa Barton,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
22,Nyle DiMarco,1st Place,unknown,,,10,10,0,0,
22,Paige VanZant,2nd Place,unknown,,,10,10,0,0,
22,Von Miller,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
22,Wanya Morris,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
23,Amber Rose,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
23,Babyface,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
23,Calvin Johnson Jr.,3rd Place,unknown,,,11,11,0,0,
23,Jake T. Austin,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
23,James Hinchcliffe,2nd Place,unknown,,,11,11,0,0,
23,Jana Kramer,Eliminated Week 11,eliminated,11.0,11.0,11,11,1,0,
23,Laurie Hernandez,1st Place,unknown,,,11,11,0,0,
23,Marilu Henner,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
23,Maureen McCormick,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
23,Rick Perry,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
23,Ryan Lochte,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
23,Terra Jole,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
23,Vanilla Ice,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
24,Bonner Bolton,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
24,Charo,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
24,Chris Kattan,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
24,David Ross,2nd Place,unknown,,,10,10,0,0,
24,Erika Jayne,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
24,Heather Morris,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
24,Mr. T,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
24,Nancy Kerrigan,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
24,Nick Viall,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
24,Normani,3rd Place,unknown,,,10,10,0,0,
24,Rashad Jennings,1st Place,unknown,,,10,10,0,0,
24,Simone Biles,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
25,Barbara Corcoran,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
25,Debbie Gibson,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
25,Derek Fisher,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
25,Drew Scott,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
25,Frankie Muniz,3rd Place,unknown,,,10,10,0,0,
25,Jordan Fisher,1st Place,unknown,,,10,10,0,0,
25,Lindsey Stirling,2nd Place,unknown,,,10,10,0,0,
25,Nick Lachey,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
25,Nikki Bella,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
25,Sasha Pieterse,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
25,Terrell Owens,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
25,Vanessa Lachey,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
25,Victoria Arlen,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
26,Adam Rippon,1st Place,unknown,,,4,4,0,0,
26,Arike Ogunbowale,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
26,Chris Mazdzer,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
26,Jamie Anderson,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
26,Jennie Finch Daigle,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
26,Johnny Damon,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
26,Josh Norman,2nd Place,unknown,,,4,4,0,0,
26,Kareem Abdul-Jabbar,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
26,Mirai Nagasu,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
26,Tonya Harding,3rd Place,unknown,,,4,4,0,0,
27,Alexis Ren,4th Place,unknown,,,9,9,0,0,
27,Bobby Bones,1st Place,unknown,,,9,9,0,0,
27,Danelle Umstead,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
27,DeMarcus Ware,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
27,Evanna Lynch,3rd Place,unknown,,,9,9,0,0,
27,Joe Amabile,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
27,John Schneider,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
27,Juan Pablo Di Pace,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
27,Mary Lou Retton,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
27,Milo Manheim,2nd Place,unknown,,,9,9,0,0,
27,Nancy McKeon,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
27,Nikki Glaser,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
27,Tinashe,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
28,Ally Brooke,3rd Place,unknown,,,11,11,0,0,
28,Hannah Brown,1st Place,unknown,,,11,11,0,0,
28,James Van Der Beek,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
28,Karamo Brown,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
28,Kate Flannery,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
28,Kel Mitchell,2nd Place,unknown,,,11,11,0,0,
28,Lamar Odom,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
28,Lauren Alaina,4th Place,unknown,,,11,11,0,0,
28,Mary Wilson,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
28,Ray Lewis,Withdrew,withdrew,,2.0,2,2,0,1,
28,Sailor Brinkley-Cook,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
28,Sean Spicer,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
29,AJ McLean,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
29,Anne Heche,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
29,Carole Baskin,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
29,Charles Oakley,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
29,Chrishell Stause,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
29,Jeannie Mai,Withdrew,withdrew,,7.0,7,7,0,1,
29,Jesse Metcalfe,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
29,Johnny Weir,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
29,Justina Machado,4th Place,unknown,,,11,11,0,0,
29,Kaitlyn Bristowe,1st Place,unknown,,,11,11,0,0,
29,Monica Aldama,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
29,Nelly,3rd Place,unknown,,,11,11,0,0,
29,Nev Schulman,2nd Place,unknown,,,11,11,0,0,
29,Skai Jackson,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
29,Veron Davis,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
30,Amanda Kloots,4th Place,unknown,,,10,10,0,0,
30,Brian Austin Green,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
